"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.16892181498561,0.861,0.252,0,"0","YBX3"
0,2.17521569593172,0.747,0.142,0,"0","TCL1A"
0,1.82362350414236,0.863,0.266,0,"0","FCER2"
0,1.63414419457873,0.996,0.434,0,"0","HLA-DQA1"
2.78903348920632e-306,1.45778065939954,0.997,0.455,7.17534645768111e-302,"0","HLA-DRB1"
9.42952739816316e-300,1.49035377901382,0.977,0.418,2.42593451372544e-295,"0","HLA-DRB5"
6.30298424294565e-292,1.84298641544624,0.824,0.296,1.62156875618263e-287,"0","RUBCNL"
1.12973296552233e-287,1.79434223381846,0.822,0.29,2.90646400039929e-283,"0","LINC00926"
3.29788637023159e-287,1.36255864547814,0.999,0.478,8.4844722646948e-283,"0","HLA-DRA"
1.20516978945149e-281,1.32251844899032,1,0.842,3.10054031732185e-277,"0","CD74"
3.98619786325089e-281,1.87924304898614,0.718,0.201,1.02552912427856e-276,"0","IGHM"
1.0095695157302e-264,1.32624821170766,0.979,0.423,2.59731949311909e-260,"0","CD79A"
1.31462822475026e-259,1.3277329194243,0.991,0.448,3.382144033815e-255,"0","HLA-DQB1"
8.93968462369519e-256,1.27149937962594,0.996,0.469,2.29991266313806e-251,"0","HLA-DPA1"
4.01993991989234e-255,2.00212093487194,0.625,0.162,1.0342099431907e-250,"0","COL19A1"
7.92160772347362e-248,1.69062850483853,0.749,0.258,2.03799201901806e-243,"0","FCRL1"
1.52958105721788e-247,1.27559734592196,0.992,0.714,3.93515318590443e-243,"0","CD83"
1.92801097349929e-245,1.46954788546639,0.883,0.388,4.96019383152162e-241,"0","HLA-DMA"
2.66444890656925e-232,1.19576523599404,0.988,0.475,6.85482770193071e-228,"0","HLA-DPB1"
9.52554385539864e-230,2.61358176078738,0.561,0.162,2.45063666767841e-225,"0","CENPM"
4.2146430462247e-220,0.968936251242487,0.998,0.854,1.08430121650223e-215,"0","CD37"
2.18059028069641e-207,1.53993465658141,0.747,0.289,5.61000461514766e-203,"0","ADAM28"
1.50686997982144e-205,1.16441525159574,0.85,0.364,3.87672439708661e-201,"0","AFF3"
1.04479202383005e-198,1.10057208201927,0.934,0.409,2.68793643970757e-194,"0","MS4A1"
5.1400224683812e-198,0.997058666173408,0.99,0.845,1.32237358044043e-193,"0","HSPE1"
1.79615688544104e-194,0.778444745676877,1,0.961,4.62097281917418e-190,"0","HSP90AB1"
4.11736081077836e-192,1.55936991564997,0.707,0.279,1.05927341578895e-187,"0","HLA-DMB"
5.98472601096199e-186,1.66074253565093,0.703,0.304,1.53969046084019e-181,"0","OTUD1"
3.71649104442164e-184,1.08690264431622,0.894,0.389,9.56141650998354e-180,"0","BANK1"
1.07908144023952e-183,1.49697418252458,0.689,0.269,2.77615282130422e-179,"0","CD22"
8.68478283911507e-180,1.13281130698415,0.833,0.374,2.23433408101913e-175,"0","LYN"
3.74759065612036e-179,1.35941336505999,0.785,0.398,9.64142648100086e-175,"0","SNX2"
4.0061492126498e-178,1.25641856294422,0.83,0.381,1.03066200793841e-173,"0","IRF8"
3.98838949089107e-177,0.78868037613784,0.993,0.873,1.02609296432154e-172,"0","LAPTM5"
1.927319128597e-175,1.36701001135453,0.781,0.388,4.95841392214151e-171,"0","ST6GAL1"
3.08516205246922e-170,1.4833635609266,0.744,0.374,7.93719641238756e-166,"0","FKBP4"
1.01654083284431e-168,1.27133486788865,0.819,0.475,2.61525460065855e-164,"0","HSPA4"
3.12058875993188e-166,1.26095481946418,0.747,0.316,8.02833870267675e-162,"0","MEF2C"
8.7899981766093e-163,1.51872428556893,0.612,0.225,2.26140283089627e-158,"0","CD72"
3.3590306660769e-162,1.56447292388569,0.6,0.22,8.64177819461604e-158,"0","NIBAN3"
1.75675612888597e-157,1.78682420095344,0.542,0.192,4.51960649278495e-153,"0","PLPP5"
1.42817834267517e-152,2.16859103131331,0.404,0.104,3.6742744222004e-148,"0","ENSG00000289963"
1.87612256182325e-149,1.55163647049609,0.59,0.235,4.82670051480268e-145,"0","IL4R"
1.62143819147251e-147,1.87079708335769,0.435,0.123,4.17147403520132e-143,"0","CD200"
1.65914750445456e-146,1.94982369291005,0.454,0.142,4.26848878471026e-142,"0","TSPAN13"
2.05249165138803e-145,1.86840609752735,0.414,0.111,5.28044527152598e-141,"0","IGHD"
7.82358702770786e-144,1.06802929417825,0.872,0.592,2.0127742346184e-139,"0","CACYBP"
5.89168242485542e-143,0.741926975361575,0.989,0.889,1.51575313744255e-138,"0","OAZ1"
1.59720680649511e-141,0.645119652618599,1,0.972,4.10913395106998e-137,"0","HSP90AA1"
8.60100848816112e-137,1.343774667538,0.719,0.401,2.21278145374921e-132,"0","POMP"
5.74902761465084e-135,1.52521418887783,0.576,0.231,1.47905233442122e-130,"0","CD40"
1.128936502517e-130,1.03914155863195,0.743,0.372,2.9044149400255e-126,"0","EIF2AK3"
9.53240398354427e-130,1.83551301054103,0.449,0.15,2.45240157284643e-125,"0","LINC02397"
8.2310723000181e-125,0.575084495937562,0.968,0.757,2.11760797062566e-120,"0","BACH2"
3.08534060926281e-123,1.13430391265357,0.748,0.425,7.93765578545042e-119,"0","SYNGR2"
3.8959132125572e-123,1.33715303054713,0.525,0.197,1.00230159219459e-118,"0","PHACTR1"
1.41876737660287e-121,1.23494854151511,0.638,0.28,3.65006282978622e-117,"0","BASP1"
